Union,Gender,Age,Education_Level,Monthly_Income,Family_Size,Housing_Type,Land_Ownership,Previous_Erosion_Experience,Distance_from_River,Access_to_Warning,Relocation_History,Govt_or_NGO_Assistance,Has_Protection_System,Infrastructure_Loss,Income_Diversification,Employment_Status,Involved_in_Community_Adaptation,Awareness_Level,Distance_score,EII,ASI,SRI,ISS,Adaptation_Category
Kachua,Female,50,Not Educated,8054,8,Permanent,No,No,15,Yes,No,No,Yes,No,No,Employed,No,Low,0.9933,0.4967,0.4,0.5111,0.3333,Moderately Adaptive
Sthal,Female,36,Not Educated,7167,5,Semi-Permanent,Yes,No,194,No,No,No,No,Yes,Yes,Employed,Yes,Low,0.8737,0.6369,0.4,0.4871,0.3333,Non-Adaptive
Maijbari,Female,41,Not Educated,5126,7,Temporary,Yes,No,213,Yes,No,No,No,Yes,No,Employed,No,Low,0.8611,0.6305,0.2,0.4317,0,Non-Adaptive
Maijbari,Male,40,Partially Educated,7212,3,Permanent,Yes,Yes,191,No,No,Yes,No,Yes,Yes,Employed,Yes,High,0.8758,0.8379,0.6,0.6618,0.6667,Moderately Adaptive
Sthal,Male,43,Partially Educated,6507,8,Permanent,No,Yes,100,Yes,No,Yes,No,No,Yes,Employed,Yes,Low,0.9365,0.6683,0.8,0.6426,0.6667,Strongly Adaptive
Sthal,Male,18,Educated,3960,3,Permanent,No,Yes,263,Yes,No,Yes,No,Yes,Yes,Employed,No,Moderate,0.8277,0.8138,0.6,0.7471,0.3333,Strongly Adaptive
Kachua,Female,52,Partially Educated,6907,5,Temporary,Yes,Yes,175,No,No,No,No,Yes,No,Employed,No,Low,0.8864,0.8432,0,0.6535,0,Non-Adaptive
Bakchar,Female,43,Partially Educated,8913,6,Temporary,No,No,215,No,No,No,No,No,Yes,Not Employed,No,Moderate,0.8597,0.4299,0.2,0.3609,0,Moderately Adaptive
Bakchar,Male,36,Educated,5998,9,Permanent,No,No,212,Yes,No,Yes,Yes,No,Yes,Employed,Yes,High,0.8617,0.4309,1,0.8023,1,Strongly Adaptive
Bakchar,Female,37,Partially Educated,6813,4,Permanent,Yes,No,107,No,No,Yes,Yes,No,Yes,Employed,Yes,Low,0.9319,0.4659,0.8,0.6509,1,Strongly Adaptive
Bakchar,Female,49,Educated,9298,3,Semi-Permanent,Yes,No,23,No,Yes,No,No,No,Yes,Employed,No,Moderate,0.988,0.594,0.2,0.8918,0,Moderately Adaptive
Kachua,Female,37,Educated,6618,4,Permanent,No,No,138,Yes,No,No,No,No,Yes,Not Employed,No,Moderate,0.9112,0.4556,0.4,0.4722,0,Strongly Adaptive
Maijbari,Female,25,Partially Educated,5665,3,Permanent,Yes,Yes,48,Yes,No,No,No,Yes,No,Not Employed,Yes,Moderate,0.9713,0.8856,0.4,0.2729,0.3333,Non-Adaptive
Maijbari,Male,34,Partially Educated,6433,7,Permanent,Yes,No,25,No,No,No,No,No,Yes,Employed,Yes,High,0.9866,0.4933,0.4,0.6406,0.3333,Moderately Adaptive
Sthal,Female,55,Partially Educated,5313,6,Permanent,Yes,No,32,No,No,No,No,No,Yes,Employed,Yes,Moderate,0.982,0.491,0.4,0.6103,0.3333,Moderately Adaptive
Bakchar,Female,42,Partially Educated,7221,10,Permanent,Yes,No,337,No,No,No,Yes,Yes,Yes,Not Employed,No,Low,0.7782,0.5891,0.4,0.3151,0.3333,Strongly Adaptive
Bakchar,Female,34,Educated,6726,7,Permanent,Yes,No,101,No,No,Yes,Yes,No,Yes,Employed,No,High,0.9359,0.4679,0.6,0.8221,0.6667,Strongly Adaptive
Kachua,Male,18,Partially Educated,3534,8,Permanent,No,Yes,617,Yes,No,Yes,No,No,Yes,Employed,Yes,Low,0.5912,0.4956,0.8,0.562,0.6667,Strongly Adaptive
Kachua,Female,55,Educated,6226,7,Semi-Permanent,No,No,599,No,No,Yes,No,No,No,Not Employed,Yes,Moderate,0.6032,0.3016,0.4,0.4615,0.6667,Strongly Adaptive
